,title,href,company,description,salary
11,Аналитик данных в сфере электроэнергетики (Удаленно),https://spb.hh.ru/vacancy/54759092?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Профэнергосервис,"Анализ данных на предмет соответствия правилам рынка электрической энергии и мощности. Анализ схем подключения потребителей от сетевой организации и иных...Знание структуры взаимоотношений участников рынка электроэнергии. Знание параметров, влияющих на стоимость электрической энергии и мощности. Знание принципов составления АРБП/АТП. ",55 000 – 85 000 руб.
12,Аналитик исследователь в интернет-портал,https://spb.hh.ru/vacancy/54848621?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Restoclub.ru,Анализ пользовательских сценариев. - Выявление проблемных зон в продукте. - Сегментация аудитории. - Выявление причинно-следственных связей в пользовательском поведении. Проводить регулярные эксперименты...Имеешь опыт решения схожих задач не менее 2-х лет.,80 000 – 140 000 руб.
13,Экономист/специалист по управленческому учёту,https://spb.hh.ru/vacancy/54861590?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ИП Захарова Ольга Юрьевна,"Контроль соответствия параметров договоров утвержденному бюджету. - Проведение план-фактного анализа выполнения принятых бюджетов по производству, анализ их эффективности и причин...Аналитический склад ума, умение делать выводы на основании анализа данных. - Отличное знание принципов управленческого учета и бюджетирования. - Ответственность, нацеленность на...",80 000 – 100 000 руб.
14,Бизнес-аналитик (финансовый и бухгалтерский учет),https://spb.hh.ru/vacancy/54883406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Франчайзинговая розничная сеть Галамарт,"Описание бизнес-функциональный требований. Разработка регламентирующих документов на основании проведенного анализа. Управление изменениями процессов. Постановка задач ИТ-департаменту, взаимодействие и...Опыт работы в рознице (бизнес аналитик, руководитель проектов, менеджер по качеству). Умение выстраивать причинно-следственные связи процессов. Умение постановки бизнес...",от 150 000 руб.
15,Системный аналитик,https://spb.hh.ru/vacancy/54782926?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Enjoypro,"Система для автоматизация, расчета налоговых регистров и отчетности. Выполнять сбор, анализ и согласования требований к системам. Подготовка технической и эксплуатационной...Опыт сбора информации по проектам (сроки, бюджет, объем, риски, изменения) и подготовки консолидированной отчетности. Опыт анализа данных, подготовки и проведения...",до 180 000 руб.
16,Аналитик отдела продаж / экономист по ценообразованию,https://spb.hh.ru/vacancy/54522141?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО ГОСКРЕПЁЖ,"Взаимодействие с подразделениями компании по расчету плановой и фактической себестоимости. Анализ уровня рентабельности контрактов. Определение отклонений, анализ причин отклонений. Получили высшее образование (экономика, финансы, математика). Знаете принципы факторного анализа, понятие эластичности спроса, умеете принимать эти знания на практике. ",60 000 – 80 000 руб.
17,Аналитик – технолог информационных систем (Банковское ПО),https://spb.hh.ru/vacancy/54602118?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,СПЕКТР,"Умение понять автоматизируемую предметную область и потребности заказчика. Это включает в себя: изучение документации, в том числе нормативной, интервьюирование представителей...Аналитик точно знает, что такое SQL и даже может написать простейший запрос к базе данных. Да, что такое база данных...",80 000 – 120 000 руб.
18,Менеджер по продукту / Маркетолог-аналитик,https://spb.hh.ru/vacancy/54727590?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,DIY Tools,"...анализ рентабельности. Анализ и выявление причин возникновения позиций с низким уровнем рентабельности. Поиск вариантов по исправлению ситуации на основании анализа...Умение работать с большими массивами данных: ты привык/-ла работать с огромными таблицами данных, это доставляет тебе удовольствие или хотя...",от 80 000 руб.
19,Менеджер по проектам и аналитике,https://spb.hh.ru/vacancy/54738578?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Коллегия Юристов,"Настройка работы сервисов (интеграция с приложениями и базами данных). - Составление технического задания и контроль разработчиков. - Тестирование, анализ и отладка готовой...Продвинутый пользователь ПК. - Опыт сопровождения проектов по разработке CRM будет преимуществом. - Продвинутый пользователь Excel, будет тест (по формулам СУММЕСЛИ и...",70 000 – 90 000 руб.
20,Финансовый менеджер,https://spb.hh.ru/vacancy/54466394?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,АО РУССЭЙР,"...факторный анализ отклонений и анализ финансово-хозяйственной деятельности организации и пр. Анализ и мониторинг цен; калькулирование себестоимости оказываемых услуг. Анализ...Знание методов статистического и финансово-экономического анализа, методов формирования себестоимости. Знание 1С:ERP; углубленное знание Excel. Умение работать в...",84 000 – 84 000 руб.
